Modelo,MAE,RMSE,R²
Regressão Linear,0.6846028743947656,0.7357382414960503,-3.727961880429496
Random Forest,0.5097813041387684,0.6009359256340866,-2.154159439415064
ARIMA,0.4989885625101486,0.5896310323684039,-2.0366026820724685
SARIMA,0.18655378131281433,0.24534089228120562,0.4742646407100424
Prophet,0.21373528955246188,0.2432193306001855,0.4833178190195905
Prophet,0.21373528955246188,0.2432193306001855,0.4833178190195905
